41,Travel_Rarely,Sales,1,2,Life Sciences,Female,3,2,Sales Executive,4,5993,19479,Yes,11,3,8,6,4,0,5,Yes
49,Travel_Frequently,Research & Development,8,1,Life Sciences,Male,2,2,Research Scientist,2,5130,24907,No,23,4,10,10,7,1,7,No
37,Travel_Rarely,Research & Development,2,2,Other,Male,2,1,Laboratory Technician,3,2090,2396,Yes,15,3,7,0,0,0,0,Yes
33,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,3,1,Research Scientist,3,2909,23159,Yes,11,3,8,8,7,3,0,No
27,Travel_Rarely,Research & Development,2,1,Medical,Male,3,1,Laboratory Technician,2,3468,16632,No,12,3,6,2,2,2,2,No
32,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,3,1,Laboratory Technician,4,3068,11864,No,13,3,8,7,7,3,6,No
59,Travel_Rarely,Research & Development,3,3,Medical,Female,4,1,Laboratory Technician,1,2670,9964,Yes,20,4,12,1,0,0,0,No
30,Travel_Rarely,Research & Development,24,1,Life Sciences,Male,3,1,Laboratory Technician,3,2693,13335,No,22,4,1,1,0,0,0,No
38,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,2,3,Manufacturing Director,3,9526,8787,No,21,4,10,9,7,1,8,No
36,Travel_Rarely,Research & Development,27,3,Medical,Male,3,2,Healthcare Representative,3,5237,16577,No,13,3,17,7,7,7,7,No
35,Travel_Rarely,Research & Development,16,3,Medical,Male,4,1,Laboratory Technician,2,2426,16479,No,13,3,6,5,4,0,3,No
29,Travel_Rarely,Research & Development,15,2,Life Sciences,Female,2,2,Laboratory Technician,3,4193,12682,Yes,12,3,10,9,5,0,8,No
31,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,3,1,Research Scientist,3,2911,15170,No,17,3,5,5,2,4,3,No
34,Travel_Rarely,Research & Development,19,2,Medical,Male,3,1,Laboratory Technician,4,2661,8758,No,11,3,3,2,2,1,2,No
28,Travel_Rarely,Research & Development,24,3,Life Sciences,Male,2,1,Laboratory Technician,3,2028,12947,Yes,14,3,6,4,2,0,3,Yes
29,Travel_Rarely,Research & Development,21,4,Life Sciences,Female,4,3,Manufacturing Director,1,9980,10195,No,11,3,10,10,9,8,8,No
